victim;gang;date;Victim Country;Victim sectors;NumberN/AofN/Aemployees;Sales;Ransom Currency;Ransom Paid
Albion College;medusa;23/12/2024;Usa;No profit;412;$30.9M;;
RODS Surveying ;fog;23/12/2024;Usa;Construction;96;$17.3M;;
marmon-herrington;lockbit3;23/12/2024;Usa;Automotive;99;$29.8M;;
tsebrakes;lockbit3;23/12/2024;Usa;Automotive;104;$24.9M;;
Rhode Island Departement of Humain Services;BrainCipher;23/12/2024;Usa;Governative;390;$11.1M;;
Industria e Comercio Jolitex Ltda;fog;23/12/2024;Brazil;Construction;310;$139.5M;;
Gallade Chemical ;fog;23/12/2024;Usa;Chemical;44;$9.5M;;
Forum Architecture & Interior Design;fog;23/12/2024;Usa;Design;71;$10.9M;;
linebank.co.id;apt73/bashe;23/12/2024;Indonesia;Financial;162;$47.9M;;
n4telecom;apt73/bashe;23/12/2024;Brazil;Service;38;<$5M;;
9fsfalcons;lockbit3;23/12/2024;Uk;Organization;;;;
ptcky;cactus;23/12/2024;Usa;Hospitality;<25;<$5M;;
adveo;cactus;23/12/2024;France;Retail;1000;$740.7M;;
Billet Precision;akira;23/12/2024;Canada;Industrial;<25;<$5M;;
ibericar;monti;22/12/2024;Spain;Automotive;85;$10.3M;;
Sicoob;8base;22/12/2024;Brazil;Banking;15065;$7.8B;;
Blome International;killsec;21/12/2024;Usa;Retail;<25;$5.7M;;
BRIGHT BOLT ENTERPRISES INC;killsec;21/12/2024;Usa;Retail;<25;<$5M;;
Casa Juarez Restaurant Supply Co;killsec;21/12/2024;Usa;Retail;<25;<$5M;;
Davis Products Company Inc;killsec;21/12/2024;Usa;Governative;93;$16.1M;;
Economy Restaurant Equipment And Supply Company;killsec;21/12/2024;Usa;Retail;<25;<$5M;;
GAMKA SALES CO. INC;killsec;21/12/2024;Usa;Construction;<25;$5.8M;;
Greater Michigan Distributors;killsec;21/12/2024;Usa;Retail;<25;<$5M;;
GPM Lawn Sprinkler Supply;killsec;21/12/2024;Usa;Law;;;;
Greene Supply Company;killsec;21/12/2024;Usa;Construction;<25;<$5M;;
Hammons Supply Company;killsec;21/12/2024;Usa;Retail;<25;<$5M;;
J AND S Electrical And Lighting Supply LLC;killsec;21/12/2024;Usa;Electronic;<25;<$5M;;
LAMERS ENTERPRISE INC;killsec;21/12/2024;Usa;Service;<25;<$5M;;
Langford Tool And Drill Co;killsec;21/12/2024;Usa;Construction;<25;<$5M;;
McCally Tool and Supply;killsec;21/12/2024;Usa;Retail;<25;<$5M;;
Abrasive Supply Corporation;killsec;21/12/2024;Usa;Manufacturing;<25;<$5M;;
Albert Paper Company;killsec;21/12/2024;Usa;Retail;<25;$9.1M;;
Allied Packing And Rubber Inc;killsec;21/12/2024;Usa;Manufacturing;<25;<$5M;;
Avana Electrotek;killsec;21/12/2024;Usa;Service;<25;<$5M;;
Badger Popcorn And Concession Supply Company;killsec;21/12/2024;Usa;Retail;<25;<$5M;;
berkotfoods;abyss;21/12/2024;Usa;Retail;661;$163.8M;;
GNK Golf;8base;21/12/2024;Spain;Service;<25;<$5M;;
CLARKE CENTRE D'IMAGERIE MEDICALE INC.;8base;21/12/2024;Canada;Healthcare;<25;<$5M;;
Grupo Bébécar;8base;21/12/2024;Portugal;Retail;735;;;
groupe-setcar.tn;ransomhub;21/12/2024;Tunisia;Energy;<25;<$5M;;
Accolent ERP Software;killsec;20/12/2024;Usa;Software;30;$13.6M;;
gilariver;ransomhub;20/12/2024;Usa;Governative;<25;<$5M;;
Izmocars;everest;20/12/2024;Usa;Automotive;535;$179.7M;;
Circle Electric ;fog;20/12/2024;Usa;Construction;25;$7.2M;;
Village Community School (vcsnyc);fog;20/12/2024;Usa;Education;105;$15.8M;;
Schenkelberg - Die Medienstrategen;fog;20/12/2024;Germany;Service;<25;<$5M;;
Genie Healthcare;everest;20/12/2024;Usa;Healthcare;471;$10.7M;;
Pertamina;killsec;20/12/2024;Indonesia;Energy;20607;$32.8B;;
EP Holdings ;fog;20/12/2024;Usa;Retail;<25;<$5M;;
Howell Township Public Schools;fog;20/12/2024;Usa;Service;681;$25M;;
Khalil Center;killsec;20/12/2024;Usa;Healthcare;65;<$5M;;
Water Utilities Corporation;killsec;20/12/2024;Botswana;Energy;3153;$87.5M;;
tabocas;ransomhub;20/12/2024;Brazil;Construction;3105;$787.2M;;
JRT Automatisation;spacebears;20/12/2024;Canada;Industrial;86;$23M;;
planetgroup.co.il;ransomhub;20/12/2024;Israel;Retail;<25;<$5M;;
austinsfs;kairos;20/12/2024;Australia;Service;<25;<$5M;;
City of Noblesville;interlock;20/12/2024;Usa;Governative;255;$44M;;
ProCaps Laboratories;akira;20/12/2024;Usa;Healthcare;415;$140M;;
Energy Capital Credit Union (eccu.net);fog;20/12/2024;Usa;Banking;46;$6.1M;;
Jet Edge ;fog;20/12/2024;Usa;Industrial;26;<$5M;;
tekni-plex;ransomhub;20/12/2024;Usa;Manufacturing;9000;$2.3B;;
Krispy Kreme;play;19/12/2024;Usa;Hospitality;22800;$1.7B;;
Hide-A-Way Lake Club;akira;19/12/2024;Usa;Hospitality;83;$16.4M;;
Jared Beschel and Associates;akira;19/12/2024;Usa;Law;<25;<$5M;;
Broker Educational Sales & Training;medusa;19/12/2024;Usa;Financial;27;$5.8M;;
federalbank.co.in;apt73/bashe;19/12/2024;India;Banking;14604;$1.5B;;
Leyman Manufacturing;akira;19/12/2024;Usa;Manufacturing;71;$39.9M;;
Compliance Solutions Inc;qilin;19/12/2024;Usa;Service;71;$18M;;
