victim;gang;date;Victim Country;Victim sectors;NumberN/AofN/Aemployees;Sales;Ransom Currency;Ransom Paid
Young & Pratt;blackbasta;6/8/2022;Usa;Industrial;;;;
Jakob Becker;blackbasta;6/8/2022;Germany;Service;;;;
Blairex Laboratories;blackbasta;6/8/2022;Usa;Industrial;;;;
Wilks Tire & Battery Service;blackbasta;6/8/2022;Usa;Industrial;;;;
UNIWELL Rohrsysteme GmbH & Co.;blackbasta;6/8/2022;Germany;Industrial;;;;
Grohmann Aluworks GmbH & Co;blackbasta;6/8/2022;Germany;Industrial;;;;
Borough of Union Beach;onyx;5/8/2022;Usa;Public;;;;
AD Consulting Group;alphv;4/8/2022;Italy;Service;;;;
SEMIKRON;lv;4/8/2022;Germany;Technology;;;;
WARTSILA;lv;4/8/2022;Usa;Energy;;;;
Liftow LTD;quantum;4/8/2022;Usa;Industrial;;;;
BEESENSE;quantum;4/8/2022;Israel;Industrial;;;;
ENN Group;hiveleak;4/8/2022;China;Energy;;;;
STTLK;lv;4/8/2022;;;;;;
AIIM;alphv;3/8/2022;India;Technology;;;;
Fitzgibbon Hospital;daixin;3/8/2022;Usa;Healthcare;;;;
Trib Total Media;daixin;3/8/2022;Usa;Entertainment;;;;
Doosan Group;revil;2/8/2022;South korea;Industrial;;;;
tekinox.it;lockbit3;2/8/2022;Italy;Industrial;;;;
obriengroupaustralia;lockbit3;2/8/2022;Australia;Entertainment;;;;
kangaroo.vn;lockbit3;2/8/2022;Vietnam;Energy;;;;
MarioSinacola;alphv;2/8/2022;Usa;Industrial;;;;
casapellas;lockbit3;2/8/2022;Usa;Industrial;;;;
scohil;lockbit3;1/8/2022;Usa;Construction;;;;
preflooring;lockbit3;1/8/2022;Usa;Construction;;;;
ARISA CORREDORES DE SEGUROS;onyx;1/8/2022;Guatemala;Energy;;;;
shopper360.my;lockbit3;1/8/2022;Malaysia;Consumer;;;;
BAFNAGROUP;lv;31/7/2022;India;Industrial;;;;
get;lockbit3;31/7/2022;Spain;Service;;;;
vytelle;lockbit3;31/7/2022;Usa;Research;;;;
emunworks;lockbit3;31/7/2022;Usa;Technology;;;;
Creos Luxembourg;alphv;29/7/2022;Luxembourg;Energy;;;;
autoliv;lockbit3;29/7/2022;Germany;Industrial;;;;
Hong Kong Special Care Dentistry Association Limited;lv;29/7/2022;China;Healthcare;;;;
Fandeli;lorenz;29/7/2022;Mexico;Industrial;;;;
fruca;lockbit3;28/7/2022;Spain;Hospitality;;;;
armassist.ie;lockbit3;28/7/2022;Ireland;Industrial;;;;
herc;alphv;28/7/2022;Brazil;Industrial;;;;
tnq.co.in;alphv;28/7/2022;India;Entertainment;;;;
coarc;redalert;28/7/2022;Usa;Service;;;;
correounir.ar;lockbit3;28/7/2022;Argentina;Transportation;;;;
JOHN A. BODZIAK ARCHITECT AIA;alphv;28/7/2022;Usa;Industrial;;;;
groupehelios;lockbit3;27/7/2022;Canada;Service;;;;
CIMEX;hiveleak;27/7/2022;Uk;Service;;;;
Weidmueller;hiveleak;27/7/2022;Usa;Technology;;;;
studioteruzzi;lv;27/7/2022;Italy;Service;;;;
cheungwoh.sg;lockbit3;26/7/2022;Singapore;Industrial;;;;
ymaunivers;lockbit3;26/7/2022;Taiwan;Industrial;;;;
sieam.fr;lockbit3;26/7/2022;France;Energy;;;;
CUCA FRESCA;onyx;26/7/2022;Usa;Technology;;;;
WAYAN NATURAL WEAR;onyx;26/7/2022;Mexico;Industrial;;;;
Artistic Stairs & Railings;onyx;26/7/2022;Canada;Industrial;;;;
Empress EMS;hiveleak;26/7/2022;Usa;Healthcare;;;;
Baltholding;onyx;26/7/2022;Estonia;Transportation;;;;
FederalBank/Fedfina;everest;26/7/2022;India;Financial;;;;
ryanhanley.ie;lv;25/7/2022;Ireland;Service;;;;
sppc.sa;lv;25/7/2022;Saudi arabia;Energy;;;;
WARTSILA;lv;25/7/2022;Usa;Energy;;;;
APPLEXUS;clop;25/7/2022;Usa;Technology;;;;
ginko.tw;lockbit3;25/7/2022;Taiwan;Communication;;;;
OptiProERP;revil;25/7/2022;Usa;Industrial;;;;
SPINNEYS;clop;25/7/2022;United arab emirates;Retail;;;;
eclipseprint;lockbit3;25/7/2022;Czech republic;Service;;;;
overseasast;lockbit3;25/7/2022;Saudi arabia;Construction;;;;
legacyhospitality;lockbit3;25/7/2022;Usa;Technology;;;;
agenziaentrate.gov.it;lockbit3;25/7/2022;Italy;Public;;;;
SRM Technologies;alphv;24/7/2022;India;Technology;;;;
riken.co.jp;lockbit3;24/7/2022;Japan;Industrial;;;;
daytonsuperior;lockbit3;24/7/2022;Usa;Service;;;;
KKJM Lawfirm;alphv;23/7/2022;Usa;Service;;;;
Hometrust Mortgage Company;alphv;23/7/2022;Usa;Financial;;;;
roedeanschool.co.za;lockbit3;23/7/2022;South africa;Education;;;;
lanormandise.fr;lockbit3;22/7/2022;France;Industrial;;;;
laneprint;lockbit3;22/7/2022;Australia;Media;;;;
Yong Mao Environmental Tech. Co.;lockbit3;22/7/2022;Taiwan;Technology;;;;
taylorstafford;lockbit3;22/7/2022;Usa;Service;;;;
osde.ar;lockbit3;22/7/2022;Argentina;Healthcare;;;;
zhulian.co.th;lockbit3;22/7/2022;Thailand;Service;;;;
townofstmarys;lockbit3;22/7/2022;Canada;Service;;;;
bizebra;lockbit3;22/7/2022;Germany;Technology;;;;
CHDE POLSKA;vicesociety;21/7/2022;Poland;Healthcare;;;;
HANDLER Bau GmbH;alphv;21/7/2022;Germany;Construction;;;;
a2pas.fr;lockbit3;21/7/2022;France;Hospitality;;;;
sitetechnology;cuba;21/7/2022;United arab emirates;Technology;;;;
ocrex;lockbit3;21/7/2022;Ireland;Financial;;;;
mwd.digital;lockbit3;21/7/2022;Italy;Technology;;;;
Edenfield;vicesociety;20/7/2022;Uk;Public;;;;
mec;lockbit3;20/7/2022;Germany;Energy;;;;
lexingtonnational;lockbit3;20/7/2022;Usa;Service;;;;
keystonelegal.co;redalert;20/7/2022;Uk;Industrial;;;;
LaVan & Neidenberg;hiveleak;20/7/2022;Usa;Service;;;;
COS2000;blackbasta;20/7/2022;Romania;Consumer;;;;
The Minka Group;blackbasta;20/7/2022;Usa;Industrial;;;;
competencia.ec;lockbit3;20/7/2022;Ecuador;Industrial;;;;
coastalmedps;lockbit3;20/7/2022;Usa;Healthcare;;;;
addconsult.nl;lockbit3;20/7/2022;Netherlands;Service;;;;
XQUADRAT GmbH;vicesociety;19/7/2022;Germany;Industrial;;;;
San Luis Coastal Unified;vicesociety;19/7/2022;Usa;Education;;;;
An Insurance Company;cheers;19/7/2022;;;;;;
GENSCO Inc.;ragnarlocker;19/7/2022;Usa;Retail;;;;
cristianaspinecenter;lockbit3;19/7/2022;;Healthcare;;;;
crbrandsinc;lockbit3;19/7/2022;Usa;Industrial;;;;
rovagnati.it;lockbit3;19/7/2022;Italy;Consumer;;;;
madcoenergi;lockbit3;19/7/2022;Indonesia;Energy;;;;
fedefarma;lockbit3;19/7/2022;Spain;Industrial;;;;
cpicfiber;lockbit3;19/7/2022;Brazil;Industrial;;;;
columbiagrain;lockbit3;19/7/2022;Colombia;Hospitality;;;;
clestra;lockbit3;19/7/2022;France;Construction;;;;
Delon Hampton &amp Associates;quantum;19/7/2022;Usa;Service;;;;
Autohaus;quantum;19/7/2022;;Industrial;;;;
Broshuis | Driving innovation;quantum;18/7/2022;Netherlands;Industrial;;;;
FederalBank / Fedfina;everest;18/7/2022;India;Financial;;;;
bizframe.co.za;lockbit3;18/7/2022;South africa;Service;;;;
integrate.ch;lockbit3;18/7/2022;Switzerland;Technology;;;;
aresfoods.ca;lockbit3;18/7/2022;Canada;Hospitality;;;;
An British Financial Company Unpay;cheers;18/7/2022;Uk;Financial;;;;
An International Shipping Company Paid;cheers;18/7/2022;;Transportation;;;;
KNAUF;blackbasta;18/7/2022;France;Construction;;;;
Wallwork Truck Center;blackbasta;18/7/2022;Usa;Industrial;;;;
Dillon Precision Products;blackbasta;18/7/2022;Usa;Industrial;;;;
sig.id;lockbit3;17/7/2022;Indonesia;Industrial;;;;
ISGEC Heavy Engineering;bianlian;16/7/2022;India;Service;;;;
VERITAS Solicitors;bianlian;16/7/2022;Uk;Service;;;;
Conway Electrics;bianlian;16/7/2022;Uk;Technology;;;;
Carrolls Irish Gifts;hiveleak;16/7/2022;Ireland;Consumer;;;;
vahanen;redalert;15/7/2022;Finland;Service;;;;
Rain the Growth Agency;bianlian;14/7/2022;Usa;Communication;;;;
Duda Farm Fresh Foods A. Duda & Sons;alphv;14/7/2022;Usa;Hospitality;;;;
Unisuper S.A.;alphv;14/7/2022;Australia;Retail;;;;
frederickco.gov;lockbit3;14/7/2022;Usa;Public;;;;
Behavioral Healthcare System;hiveleak;14/7/2022;;Research;;;;
FMT;hiveleak;14/7/2022;Italy;Technology;;;;
CITYFURNITURE;hiveleak;14/7/2022;Usa;Hospitality;;;;
RALLYEDOM;hiveleak;14/7/2022;France;Retail;;;;
pkaufmann;blackbasta;17/6/2024;Usa;Consumer;294;$47.9M;;
ZEUS Scientific;quantum;14/7/2022;Usa;Industrial;;;;
vlp.nl;lockbit3;14/7/2022;Netherlands;Industrial;;;;
iis.ac;lockbit3;14/7/2022;Uk;Education;;;;
etgworld;lockbit3;14/7/2022;Canada;Hospitality;;;;
syredis.fr;redalert;14/7/2022;France;Technology;;;;
Mackenzie Medical;bianlian;14/7/2022;Uk;Healthcare;;;;
Anderson Insurance Associates;bianlian;14/7/2022;Usa;Service;;;;
High Power Technical Services;bianlian;14/7/2022;Usa;Technology;;;;
Mooresville Schools;bianlian;14/7/2022;Usa;Education;;;;
Maxey Moverley;0mega;14/7/2022;Uk;Service;;;;
Van Ausdall & Farrar;lorenz;13/7/2022;Usa;Technology;;;;
Biothane usa;lorenz;13/7/2022;Usa;Industrial;;;;
Gresco;lorenz;13/7/2022;Usa;Service;;;;
SANDO;hiveleak;13/7/2022;India;Industrial;;;;
RTVCM;hiveleak;13/7/2022;Usa;Technology;;;;
AdaptIT;hiveleak;13/7/2022;Italy;Technology;;;;
Exela Technologies;hiveleak;13/7/2022;Usa;Technology;;;;
APETITO;hiveleak;13/7/2022;;Hospitality;;;;
GROUP4 AUSTRALIA;hiveleak;13/7/2022;Australia;Industrial;;;;
Authentic Brands Group;hiveleak;13/7/2022;Usa;Communication;;;;
Epec.PL Lied about the absence of;ragnarlocker;13/7/2022;Usa;Service;;;;
duda;alphv;13/7/2022;Usa;Technology;;;;
Podhurst Orseck;alphv;12/7/2022;Usa;Service;;;;
American International Industries;quantum;12/7/2022;Usa;Industrial;;;;
Summit Care;ransomhouse;11/7/2022;Usa;Healthcare;;;;
Uppco;lorenz;11/7/2022;Usa;Service;;;;
Pontal Engineering Constructions and Developments;everest;11/7/2022;Brazil;Construction;;;;
PSA;blackbyte;11/7/2022;Uk;Industrial;;;;
The Royal Commission for Riyadh City (RCRC);alphv;11/7/2022;Saudi arabia;Public;;;;
Bandai Namco;alphv;11/7/2022;Japan;Entertainment;;;;
Hydraelectric;alphv;11/7/2022;Usa;Technology;;;;
OLYMPIA;blackbasta;7/7/2022;Usa;Service;;;;
lapostemobile.fr;lockbit3;7/7/2022;France;Technology;;;;
stmcomtw;cuba;7/7/2022;Usa;Industrial;;;;
carnbrea;lockbit3;7/7/2022;Australia;Service;;;;
The Wiener Zeitung media group;blackbasta;7/7/2022;Austria;Service;;;;
LOKALTOG;blackbasta;6/7/2022;Denmark;Transportation;;;;
RENZEL;blackbasta;6/7/2022;Bulgaria;Retail;;;;
LYDECKER;blackbasta;6/7/2022;Usa;Service;;;;
Wipro HealthcarePlan Services;blackbasta;6/7/2022;Usa;Healthcare;;;;
OLYMPIATILE;blackbasta;6/7/2022;Usa;Hospitality;;;;
MAIN;blackbasta;6/7/2022;;;;;;
TMI;blackbasta;6/7/2022;Italy;Industrial;;;;
Sierra Pacific Industries;blackbasta;6/7/2022;Usa;Service;;;;
DEKIMO;blackbasta;6/7/2022;Belgium;Industrial;;;;
Jinny Beauty Supply;blackbasta;6/7/2022;Usa;Healthcare;;;;
Roche Bobois;blackbasta;6/7/2022;Uk;Hospitality;;;;
LOSSEWERK;blackbasta;6/7/2022;Germany;Industrial;;;;
SCHMIDT Gruppe Service GmbH;blackbasta;6/7/2022;Germany;Entertainment;;;;
JBKLDMN;blackbasta;6/7/2022;Germany;Public;;;;
Gatewayrehab;blackbyte;6/7/2022;Usa;Healthcare;;;;
Dusit D2 Kenz Hotel Dubai;alphv;6/7/2022;Saudi arabia;Hospitality;;;;
Lamoille Healthcare;blackbyte;6/7/2022;Usa;Healthcare;;;;
alpachem;lockbit3;6/7/2022;Italy;Industrial;;;;
cabbageinc;lockbit3;6/7/2022;Usa;Hospitality;;;;
DPP;blackbasta;6/7/2022;Usa;Technology;;;;
adlerdisplay | Adler Display;alphv;6/7/2022;Usa;Technology;;;;
Sinclair Wilson;alphv;6/7/2022;Australia;Financial;;;;
Pontal Engineering Constructions and Developments;everest;5/7/2022;Brazil;Service;;;;
WisPak;lorenz;5/7/2022;Usa;Hospitality;;;;
Vectalia group;vicesociety;4/7/2022;Spain;Service;;;;
Yurtiçi Kargo;hiveleak;4/7/2022;Turkey;Transportation;;;;
Hamlyns Limited;hiveleak;4/7/2022;Uk;Service;;;;
Holland CPA;alphv;4/7/2022;Usa;Service;;;;
DIRECTFERRIES;hiveleak;4/7/2022;Uk;Transportation;;;;
MHIRE;hiveleak;4/7/2022;India;Service;;;;
CAN;hiveleak;4/7/2022;Canada;Technology;;;;
AUM;hiveleak;4/7/2022;Usa;Education;;;;
KDE;hiveleak;4/7/2022;Germany;Technology;;;;
YURTICIKARGO;hiveleak;4/7/2022;Turkey;Retail;;;;
Massy Distribution Limited;hiveleak;4/7/2022;Trinidad and tobago;Retail;;;;
WWSTEELE;hiveleak;4/7/2022;Uk;Industrial;;;;
NETWORK4CARS;hiveleak;4/7/2022;Netherlands;Industrial;;;;
CAPSONIC;blackbasta;3/7/2022;Usa;Industrial;;;;
V2 Logistics Corp;blackbasta;3/7/2022;Usa;Transportation;;;;
boscoavocats;lockbit3;2/7/2022;Usa;Service;;;;
faacgroup;lockbit3;2/7/2022;Italy;Technology;;;;
lesbureauxdelepargne;lockbit3;2/7/2022;France;Service;;;;
plravocats.fr;lockbit3;2/7/2022;France;Financial;;;;
slpcolombus;lockbit3;2/7/2022;;Financial;;;;
axelcium;lockbit3;2/7/2022;France;Financial;;;;
Shorr age;yanluowang;2/7/2022;Usa;Service;;;;
Greetings to havi and tmsw;yanluowang;2/7/2022;;Service;;;;
dump from various organizations;yanluowang;2/7/2022;;;;;;
Walmart was encrypted;yanluowang;2/7/2022;;Consumer;;;;
Cincinnati bell didn&rsquot pay the ransom;yanluowang;2/7/2022;Usa;Technology;;;;
Rocky;hiveleak;2/7/2022;Usa;Retail;;;;
sigmaalimentos;lockbit3;1/7/2022;Mexico;Hospitality;;;;
HANSA KONTAKT;alphv;1/7/2022;Hungary;Transportation;;;;
Amalfitana Gas Srl;everest;1/7/2022;Italy;Energy;;;;
An International Shipping Company Unpay;cheers;1/7/2022;;Financial;;;;
Continental Management;alphv;1/7/2022;Usa;Service;;;;
Atlantic Dialysis Management Services;snatch;30/6/2022;Usa;Healthcare;;;;
diodes;lockbit3;30/6/2022;Usa;Industrial;;;;
Crupi Group;quantum;30/6/2022;Canada;Construction;;;;
Apex Imaging inc.;snatch;29/6/2022;Canada;Service;;;;
Avante Healthcare Solutions;quantum;29/6/2022;Usa;Healthcare;;;;
New Peoples Bank;blackbasta;29/6/2022;Usa;Financial;;;;
metroappliancesandmore;lockbit3;29/6/2022;Usa;Consumer;;;;
lonseal;lockbit3;29/6/2022;Japan;Industrial;;;;
Sembcorp Marine Unpay;cheers;28/6/2022;;Service;;;;
SuperAlloy Industrial Co.;hiveleak;28/6/2022;Taiwan;Industrial;;;;
Diskriter;hiveleak;28/6/2022;Usa;Service;;;;
lit.it;lockbit2;28/6/2022;Italy;Technology;;;;
Ministry of Agriculture;vicesociety;27/6/2022;;Public;;;;
Bonneville Collections;lorenz;27/6/2022;Usa;Service;;;;
r1group;cuba;27/6/2022;Italy;Technology;;;;
Medical University of Innsbruck;vicesociety;26/6/2022;Austria;Education;;;;
Napa Valley College;blackbyte;26/6/2022;Usa;Education;;;;
Elbit Systems of America;blackbasta;26/6/2022;Usa;Technology;;;;
oakbrook;lockbit2;26/6/2022;Usa;Service;;;;
888VOIP;clop;24/6/2022;Usa;Technology;;;;
ATAPCOPROPERTIES;clop;24/6/2022;Usa;Hospitality;;;;
New : Prudential LTG.;ragnarlocker;24/6/2022;Usa;Industrial;;;;
New : Northern Systems;ragnarlocker;23/6/2022;Uk;Technology;;;;
nutis;alphv;23/6/2022;Usa;Communication;;;;
Alphapointe;hiveleak;23/6/2022;Usa;Industrial;;;;
FAYAT;everest;23/6/2022;France;Construction;;;;
Arte Radiotelevisivo Argentino (Artear);hiveleak;23/6/2022;Argentina;Technology;;;;
COUNT+CARE | ENTEGA;alphv;22/6/2022;Germany;Healthcare;;;;
Reed Pope Law;alphv;22/6/2022;Canada;Service;;;;
BAHRA ELECTRIC;lv;22/6/2022;Saudi arabia;Technology;;;;
Matco Electric;alphv;22/6/2022;Usa;Industrial;;;;
PT Astra Honda Motor;vicesociety;22/6/2022;Indonesia;Industrial;;;;
Pilton Community College;vicesociety;22/6/2022;Uk;Education;;;;
Canaropa;blackbasta;21/6/2022;Canada;Industrial;;;;
Mechanical Systems Company;blackbasta;21/6/2022;Usa;Industrial;;;;
Crane Carrier Company;blackbasta;21/6/2022;Usa;Industrial;;;;
PARADOX;blackbasta;21/6/2022;Sweden;Entertainment;;;;
GRUPO mh;blackbasta;21/6/2022;Spain;Transportation;;;;
ecosoffice;lockbit2;21/6/2022;Germany;Service;;;;
cotegazam.fr;lockbit2;21/6/2022;France;Service;;;;
Ospedale Macedonio Melloni;vicesociety;21/6/2022;Italy;Healthcare;;;;
sigmaalimentos;lockbit2;21/6/2022;Mexico;Service;;;;
farmaciacirici;lockbit2;21/6/2022;Spain;Industrial;;;;
agricolaandrea;lockbit2;21/6/2022;Peru;Hospitality;;;;
business.gov.om;lockbit2;20/6/2022;Oman;Service;;;;
builditinc;lockbit2;20/6/2022;Usa;Construction;;;;
rhenus.group;lockbit2;20/6/2022;Germany;Transportation;;;;
kuwaitairways.c;lockbit2;20/6/2022;Kuwait;Transportation;;;;
plagepalace;lockbit2;20/6/2022;France;Hospitality;;;;
emprint;lockbit2;20/6/2022;Usa;Technology;;;;
acac;lockbit2;20/6/2022;Usa;Healthcare;;;;
optoma;lockbit2;19/6/2022;Usa;Technology;;;;
vectorinf.b;lockbit2;18/6/2022;Brazil;Technology;;;;
tbkawashima.co;lockbit2;18/6/2022;Japan;Industrial;;;;
lundinroof;lockbit2;18/6/2022;Usa;Industrial;;;;
SOCOTEC;suncrypt;18/6/2022;Uk;Service;;;;
keisei;lockbit2;17/6/2022;Japan;Transportation;;;;
lund;lockbit2;17/6/2022;;;;;;
bestatt;lockbit2;17/6/2022;Germany;Service;;;;
RG Alliance Group;quantum;16/6/2022;Usa;Service;;;;
bestattung;lockbit2;16/6/2022;Germany;Service;;;;
ardebolassessor;lockbit2;16/6/2022;Usa;Communication;;;;
Novelty Group;vicesociety;15/6/2022;United arab emirates;Retail;;;;
MOLTOLUCE;lv;15/6/2022;Austria;Service;;;;
dgi.gouv.ml;lockbit2;15/6/2022;France;Public;;;;
RadiciGroup;blackbasta;15/6/2022;Italy;Media;;;;
Magnum;vicesociety;15/6/2022;Denmark;Retail;;;;
medcoenergi;lockbit2;14/6/2022;Indonesia;Energy;;;;
genusplc;lockbit2;14/6/2022;Uk;Hospitality;;;;
enclosuresoluti;lockbit2;14/6/2022;South africa;Industrial;;;;
dgi;lockbit2;14/6/2022;Usa;Technology;;;;
gruppowasteital;lockbit2;14/6/2022;Italy;Service;;;;
Shred Station;quantum;14/6/2022;Uk;Technology;;;;
YMCA;quantum;14/6/2022;Usa;Public;;;;
Purvis Industries;alphv;14/6/2022;Usa;Industrial;;;;
M. Green and Company LLP;quantum;14/6/2022;Usa;Financial;;;;
Medlab Pathology;quantum;14/6/2022;Usa;Healthcare;;;;
SHOPRITE HOLDINGS LTD;ransomhouse;14/6/2022;South africa;Retail;;;;
Metek PLC;everest;14/6/2022;Uk;Construction;;;;
Plainedge Public Schools;alphv;14/6/2022;Uk;Education;;;;
SCHIFFMANS;lv;14/6/2022;Usa;Consumer;;;;
MOTOLUCLE;lv;14/6/2022;;Transportation;;;;
theallison;alphv;14/6/2022;Usa;Consumer;;;;
Bernd Hösele Group;blackbasta;14/6/2022;Austria;Healthcare;;;;
Grand Valley State University;vicesociety;13/6/2022;Usa;Education;;;;
etron;cuba;13/6/2022;Germany;Industrial;;;;
ptg;lockbit2;13/6/2022;Australia;Transportation;;;;
Opal;blackbyte;13/6/2022;Spain;Healthcare;;;;
SDZ Druck und Medien;blackbasta;12/6/2022;Germany;Media;;;;
slgienergy;lockbit2;12/6/2022;Usa;Energy;;;;
sanvitale.ra.it;lockbit2;12/6/2022;Italy;Public;;;;
The University of Pisa;alphv;11/6/2022;Italy;Education;;;;
ses;lockbit2;11/6/2022;Canada;Technology;;;;
Metek Plc;everest;11/6/2022;Uk;Industrial;;;;
eivpparis.fr;alphv;10/6/2022;France;Service;;;;
Tiroler Rohre GmbH;blackbasta;10/6/2022;Austria;Industrial;;;;
Worldwide Flight Services;blackbasta;10/6/2022;France;Transportation;;;;
vectorinf.c;lockbit2;10/6/2022;;Technology;;;;
cargoexperts.eu;lockbit2;10/6/2022;Cyprus;Transportation;;;;
kaisoten.co.jp;lockbit2;9/6/2022;Japan;Transportation;;;;
CAPECODRTA;lv;9/6/2022;Usa;Transportation;;;;
Palermo;vicesociety;9/6/2022;Italy;Public;;;;
virtus;lockbit2;9/6/2022;;;;;;
Goodman Campbell Brain & Spine;hiveleak;8/6/2022;Usa;Healthcare;;;;
English Construction Company;blackbasta;8/6/2022;Usa;Construction;;;;
Losberger De Boer;blackbasta;7/6/2022;Germany;Construction;;;;
Alliance Steel;conti;7/6/2022;Usa;Retail;;;;
equis;lockbit2;7/6/2022;Usa;Financial;;;;
gpml;lockbit2;7/6/2022;;;;;;
VTVCAB;everest;6/6/2022;Vietnam;Media;;;;
mandiant;lockbit2;6/6/2022;Usa;Technology;;;;
sesver.gob.mx;lockbit2;6/6/2022;Mexico;Healthcare;;;;
patralogistik.c;lockbit2;6/6/2022;Indonesia;Transportation;;;;
linmark;lockbit2;6/6/2022;China;Retail;;;;
hyatts;lockbit2;6/6/2022;Usa;Hospitality;;;;
IBRCN;lockbit2;6/6/2022;China;Technology;;;;
kansashighwaypa;lockbit2;5/6/2022;Usa;Public;;;;
bestattungwalz;lockbit2;5/6/2022;Austria;Service;;;;
vainieritraspor;lockbit2;4/6/2022;Italy;Transportation;;;;
ATAPCOPROPERTIES;clop;4/6/2022;Usa;Industrial;;;;
ALEXIM;clop;4/6/2022;Canada;Transportation;;;;
rosagroup;lockbit2;4/6/2022;Poland;Industrial;;;;
SilTerra;lv;4/6/2022;Malaysia;Industrial;;;;
wikgroup;lockbit2;4/6/2022;China;Technology;;;;
specpharm.co.za;lockbit2;4/6/2022;South africa;Industrial;;;;
ora;lockbit2;4/6/2022;Usa;Education;;;;
colonail;lockbit2;4/6/2022;Usa;Public;;;;
familyclinicbri;lockbit2;4/6/2022;Uk;Healthcare;;;;
Northeastern Technical College;suncrypt;4/6/2022;Usa;Education;;;;
Sierra Packaging ed;ragnarlocker;4/6/2022;Usa;Public;;;;
sport;lockbit2;3/6/2022;;Entertainment;;;;
St Paul;vicesociety;2/6/2022;;Public;;;;
Acorn Recruitment;vicesociety;2/6/2022;Uk;Industrial;;;;
The De Montfort School;vicesociety;2/6/2022;Uk;Education;;;;
Alexandria. (LA);alphv;2/6/2022;Usa;Public;;;;
closetheloopeu;lockbit2;2/6/2022;Australia;Service;;;;
jewelry.or;lockbit2;2/6/2022;;Service;;;;
compagniedep;lockbit2;2/6/2022;Germany;Transportation;;;;
hilltopconstruc;lockbit2;2/6/2022;Uk;Industrial;;;;
cepima;lockbit2;2/6/2022;Italy;Construction;;;;
Nelsonslaw LLP;alphv;2/6/2022;Uk;Service;;;;
XYTECH;lv;1/6/2022;Usa;Industrial;;;;
CICIS;lv;1/6/2022;Usa;Hospitality;;;;
bradfo;lockbit2;1/6/2022;Uk;Public;;;;
Jonathan Adler s;ragnarlocker;1/6/2022;Usa;Retail;;;;
Groupe J.F. Nadeau Inc;blackbasta;1/6/2022;Canada;Transportation;;;;
JBS TEXTILE GROUP;blackbasta;1/6/2022;Denmark;Industrial;;;;
AMSGruppe;alphv;1/6/2022;Germany;Industrial;;;;
CAVENDERS;blackbasta;31/5/2022;Usa;Consumer;;;;
Westwood;lorenz;31/5/2022;Usa;Consumer;;;;
CMC Electronics;alphv;31/5/2022;Usa;Industrial;;;;
GREEN MOUNTAIN ELECTRIC SUPPLY;alphv;31/5/2022;Usa;Energy;;;;
G&P Projects And Systems S.A.;hiveleak;30/5/2022;Brazil;Technology;;;;
Caracol TV;hiveleak;30/5/2022;Colombia;Technology;;;;
Klasner Solomon & Partners Chartered Professional Accountants;alphv;30/5/2022;Canada;Service;;;;
Whitehall. (OH);alphv;30/5/2022;Usa;Public;;;;
intertabak;lockbit2;30/5/2022;Switzerland;Retail;;;;
inla;lockbit2;30/5/2022;France;Consumer;;;;
tcpharmachem.co;lockbit2;30/5/2022;Thailand;Industrial;;;;
gpmlife;lockbit2;30/5/2022;Colombia;Public;;;;
foxconnbc;lockbit2;29/5/2022;Mexico;Technology;;;;
koenigstahl.pl;lockbit2;29/5/2022;Poland;Industrial;;;;
pauly;lockbit2;29/5/2022;Germany;Technology;;;;
hospitalsanjose;lockbit2;29/5/2022;Usa;Healthcare;;;;
BLAIR inc.;blackbasta;29/5/2022;Usa;Consumer;;;;
An Technology Company;cheers;29/5/2022;;Technology;;;;
An Financial Company;cheers;29/5/2022;;Financial;;;;
An Belgium Hospital;cheers;29/5/2022;Belgium;Healthcare;;;;
An International Maritime Company;cheers;29/5/2022;;Transportation;;;;
Travira Air;hiveleak;28/5/2022;Indonesia;Transportation;;;;
XEIAD;hiveleak;28/5/2022;Uk;Service;;;;
undefined;blackbasta;28/5/2022;;;;;;
PRICEDEX;clop;27/5/2022;Canada;Retail;;;;
PERBIT;clop;13/5/2022;Germany;Technology;;;;
888VOIP;clop;27/5/2022;Usa;Communication;;;;
ATAPCOPROPERTIES;clop;27/5/2022;Usa;Industrial;;;;
FERRANSERVICES;clop;27/5/2022;Usa;Industrial;;;;
ENSSECURITY;clop;27/5/2022;Usa;Service;;;;
DRCLAW;clop;27/5/2022;Usa;Service;;;;
LATOURNERIEWOLFROM;clop;27/5/2022;France;Industrial;;;;
FTSUMNERK12;clop;27/5/2022;Usa;Education;;;;
ALEXIM;clop;27/5/2022;Usa;Technology;;;;
Florida Department of Veterans&#39 Affairs;quantum;27/5/2022;Usa;Public;;;;
kerrylog;lockbit2;27/5/2022;China;Service;;;;
Horwitz Law;alphv;27/5/2022;Usa;Service;;;;
skinnertran;lockbit2;27/5/2022;Usa;Transportation;;;;
ils.theinnovate;lockbit2;26/5/2022;Usa;Service;;;;
Lamborghini;everest;26/5/2022;Italy;Industrial;;;;
Mebulbs;lorenz;26/5/2022;Usa;Service;;;;
edmstone;lockbit2;26/5/2022;France;Industrial;;;;
SOUCY;hiveleak;26/5/2022;France;Public;;;;
Guardian Fueling Technologies;hiveleak;26/5/2022;Usa;Technology;;;;
ChemStation International;hiveleak;26/5/2022;Uk;Industrial;;;;
GUARDFUEL;hiveleak;25/5/2022;;Energy;;;;
